Rk,Gcar,Gtm,Date,Team,,Opp,Result,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
55,55,1,2014-04-19,OKC,,MEM,W 100-86,*,43:09,13,25,.520,3,7,.429,10,18,.556,.580,4,6,.667,1,7,8,7,1,0,3,1,33,25.2,10
56,56,2,2014-04-21,OKC,,MEM,L 105-111 (OT),*,45:23,12,28,.429,5,12,.417,7,16,.438,.518,7,8,.875,2,9,11,4,0,2,1,3,36,26.9,-7
57,57,3,2014-04-24,OKC,@,MEM,L 95-98 (OT),*,49:26,10,27,.370,0,8,.000,10,19,.526,.370,10,13,.769,3,6,9,3,2,5,5,1,30,20.0,-1
58,58,4,2014-04-26,OKC,@,MEM,W 92-89 (OT),*,49:17,5,21,.238,1,7,.143,4,14,.286,.262,4,6,.667,1,12,13,4,2,2,5,2,15,6.2,0
59,59,5,2014-04-29,OKC,,MEM,L 99-100 (OT),*,51:45,10,24,.417,3,8,.375,7,16,.438,.479,3,6,.500,3,5,8,2,0,0,6,1,26,10.6,1
60,60,6,2014-05-01,OKC,@,MEM,W 104-84,*,42:31,11,23,.478,0,6,.000,11,17,.647,.478,14,15,.933,2,8,10,2,1,1,3,3,36,26.6,27
61,61,7,2014-05-03,OKC,,MEM,W 120-109,*,42:24,12,18,.667,5,5,1.000,7,13,.538,.806,4,6,.667,0,8,8,2,0,1,5,3,33,22.7,20
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,62,8,2014-05-05,OKC,,LAC,L 105-122,*,34:47,9,19,.474,2,5,.400,7,14,.500,.526,5,8,.625,0,4,4,4,1,1,3,2,25,16.0,-26
63,63,9,2014-05-07,OKC,,LAC,W 112-101,*,43:19,10,22,.455,3,9,.333,7,13,.538,.523,9,11,.818,3,9,12,9,2,0,4,4,32,27.3,14
64,64,10,2014-05-09,OKC,@,LAC,W 118-112,*,45:48,14,24,.583,1,4,.250,13,20,.650,.604,7,7,1.000,0,8,8,6,0,1,2,2,36,29.3,2
65,65,11,2014-05-11,OKC,@,LAC,L 99-101,*,44:54,12,24,.500,1,7,.143,11,17,.647,.521,15,18,.833,1,6,7,3,2,2,8,3,40,25.6,-3
66,66,12,2014-05-13,OKC,,LAC,W 105-104,*,42:24,6,22,.273,3,6,.500,3,16,.188,.341,12,12,1.000,0,10,10,5,1,1,2,1,27,19.8,2
67,67,13,2014-05-15,OKC,@,LAC,W 104-98,*,44:06,12,23,.522,5,8,.625,7,15,.467,.630,10,10,1.000,0,16,16,5,0,2,5,2,39,31.6,6
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,68,14,2014-05-19,OKC,@,SAS,L 105-122,*,40:48,10,19,.526,4,7,.571,6,12,.500,.632,4,4,1.000,1,8,9,5,0,1,6,4,28,18.4,-17
69,69,15,2014-05-21,OKC,@,SAS,L 77-112,*,28:31,6,16,.375,0,4,.000,6,12,.500,.375,3,5,.600,0,3,3,2,1,0,2,2,15,5.9,-26
70,70,16,2014-05-25,OKC,,SAS,W 106-97,*,36:04,8,19,.421,1,4,.250,7,15,.467,.447,8,8,1.000,3,7,10,3,1,1,4,3,25,17.7,19
71,71,17,2014-05-27,OKC,,SAS,W 105-92,*,41:12,11,22,.500,2,4,.500,9,18,.500,.545,7,9,.778,0,5,5,5,3,1,0,1,31,27.5,14
72,72,18,2014-05-29,OKC,@,SAS,L 89-117,*,36:59,11,21,.524,2,6,.333,9,15,.600,.571,1,4,.250,1,4,5,2,1,1,1,0,25,17.5,-22
73,73,19,2014-05-31,OKC,,SAS,L 107-112 (OT),*,51:48,12,25,.480,2,8,.250,10,17,.588,.520,5,7,.714,4,10,14,2,1,3,7,3,31,19.6,-3
74,74,1,2016-04-16,OKC,,DAL,W 108-70,*,26:35,7,15,.467,2,6,.333,5,9,.556,.533,7,7,1.000,1,4,5,5,0,0,3,3,23,16.5,28
75,75,2,2016-04-18,OKC,,DAL,L 84-85,*,44:22,7,33,.212,2,11,.182,5,22,.227,.242,5,5,1.000,1,8,9,2,0,1,7,2,21,-1.9,-1
